subscribers,online,timestamp,date,time,percent_online
602199,34255,2021-09-07 14:30:05.464999,2021-09-07,14:30:05.464999,5.69
602203,34255,2021-09-07 14:35:04.199099,2021-09-07,14:35:04.199099,5.69
602212,34255,2021-09-07 14:40:04.308734,2021-09-07,14:40:04.308734,5.69
602220,34255,2021-09-07 14:45:02.798583,2021-09-07,14:45:02.798583,5.69
602225,34255,2021-09-07 14:50:01.744298,2021-09-07,14:50:01.744298,5.69
602231,34255,2021-09-07 14:55:04.649958,2021-09-07,14:55:04.649958,5.69
602233,34255,2021-09-07 15:00:02.935484,2021-09-07,15:00:02.935484,5.69
602243,36497,2021-09-07 15:05:01.874228,2021-09-07,15:05:01.874228,6.06
602248,36497,2021-09-07 15:10:02.189398,2021-09-07,15:10:02.189398,6.06
602256,36497,2021-09-07 15:15:04.032569,2021-09-07,15:15:04.032569,6.06
602260,36497,2021-09-07 15:20:02.504203,2021-09-07,15:20:02.504203,6.06
602267,36497,2021-09-07 15:25:02.426718,2021-09-07,15:25:02.426718,6.06
602272,36497,2021-09-07 15:30:02.502963,2021-09-07,15:30:02.502963,6.06
602282,36497,2021-09-07 15:35:07.852704,2021-09-07,15:35:07.852704,6.06
602283,40256,2021-09-07 15:40:01.689468,2021-09-07,15:40:01.689468,6.68
602289,40256,2021-09-07 15:45:04.809848,2021-09-07,15:45:04.809848,6.68
602300,39031,2021-09-07 15:50:02.365406,2021-09-07,15:50:02.365406,6.48
602309,38677,2021-09-07 15:55:04.283322,2021-09-07,15:55:04.283322,6.42
602328,38932,2021-09-07 16:00:06.856297,2021-09-07,16:00:06.856297,6.46
602438,38857,2021-09-07 16:10:03.585499,2021-09-07,16:10:03.585499,6.45
602511,38857,2021-09-07 16:15:01.741039,2021-09-07,16:15:01.741039,6.45
602568,38857,2021-09-07 16:20:02.727758,2021-09-07,16:20:02.727758,6.45
602636,38857,2021-09-07 16:25:02.804918,2021-09-07,16:25:02.804918,6.45
602693,38857,2021-09-07 16:30:03.180782,2021-09-07,16:30:03.180782,6.45
602758,38857,2021-09-07 16:35:03.151788,2021-09-07,16:35:03.151788,6.45
602801,37531,2021-09-07 16:40:02.299849,2021-09-07,16:40:02.299849,6.23
602865,37531,2021-09-07 16:45:04.616174,2021-09-07,16:45:04.616174,6.23
602935,37531,2021-09-07 16:50:03.697888,2021-09-07,16:50:03.697888,6.22
602990,37531,2021-09-07 16:55:04.334952,2021-09-07,16:55:04.334952,6.22
603048,37531,2021-09-07 16:59:04.804536,2021-09-07,16:59:04.804536,6.22
603061,37531,2021-09-07 17:00:04.141449,2021-09-07,17:00:04.141449,6.22
603115,37531,2021-09-07 17:05:04.169993,2021-09-07,17:05:04.169993,6.22
603182,37531,2021-09-07 17:10:02.139655,2021-09-07,17:10:02.139655,6.22
603243,37531,2021-09-07 17:15:02.062172,2021-09-07,17:15:02.062172,6.22
603311,37531,2021-09-07 17:20:02.763432,2021-09-07,17:20:02.763432,6.22
603380,37531,2021-09-07 17:25:01.829511,2021-09-07,17:25:01.829511,6.22
603440,37531,2021-09-07 17:30:01.919764,2021-09-07,17:30:01.919764,6.22
603497,37531,2021-09-07 17:35:01.948888,2021-09-07,17:35:01.948888,6.22
603558,38857,2021-09-07 17:40:04.563555,2021-09-07,17:40:04.563555,6.44
603616,38857,2021-09-07 17:45:07.386459,2021-09-07,17:45:07.386459,6.44
603675,38857,2021-09-07 17:50:06.260804,2021-09-07,17:50:06.260804,6.44
603741,38857,2021-09-07 17:55:03.304402,2021-09-07,17:55:03.304402,6.44
603796,38857,2021-09-07 18:00:03.136591,2021-09-07,18:00:03.136591,6.44
603844,38857,2021-09-07 18:05:04.343050,2021-09-07,18:05:04.343050,6.43
603901,38300,2021-09-07 18:10:04.177456,2021-09-07,18:10:04.177456,6.34
603935,38309,2021-09-07 18:15:02.340099,2021-09-07,18:15:02.340099,6.34
603971,38729,2021-09-07 18:20:07.640130,2021-09-07,18:20:07.640130,6.41
604019,38729,2021-09-07 18:25:02.415571,2021-09-07,18:25:02.415571,6.41
604053,38207,2021-09-07 18:30:02.895442,2021-09-07,18:30:02.895442,6.33
604077,38207,2021-09-07 18:35:02.126805,2021-09-07,18:35:02.126805,6.32
604092,38207,2021-09-07 18:40:02.551756,2021-09-07,18:40:02.551756,6.32
604111,38207,2021-09-07 18:45:05.986851,2021-09-07,18:45:05.986851,6.32
604139,38207,2021-09-07 18:50:07.515702,2021-09-07,18:50:07.515702,6.32
604166,38207,2021-09-07 18:55:04.611113,2021-09-07,18:55:04.611113,6.32
